keyword,title,price,rating,reviews,platform,position,delivery,discount,brand,visibility_score,price_range
air fryer india,Hp Air Fryer India Model 735,6304.0,3.9,3336.0,Amazon,,5 Days,,Hp,,Mid-Range
men running shoes,Samsung Men Running Shoes Model 267,27684.0,4.4,2165.0,Flipkart,,5 Days,,Samsung,,Premium
men running shoes,Lg Men Running Shoes Model 927,10893.0,,3220.0,Flipkart,,Free Delivery,,Lg,,Mid-Range
air fryer india,Boat Air Fryer India Model 822,317150.0,,912.0,Reliance Digital,,2 Days,,Boat,,Luxury
power bank fast charging,Boat Power Bank Fast Charging Model 237,40605.0,4.1,4794.0,Reliance Digital,,Free Delivery,,Boat,,Premium
men running shoes,Samsung Men Running Shoes Model 400,49074.0,3.4,3514.0,Reliance Digital,,2 Days,,Samsung,,Premium
air fryer india,Sony Air Fryer India Model 728,40235.0,4.9,1832.0,Croma,,Free Delivery,,Sony,,Premium
office chair ergonomic,Boat Office Chair Ergonomic Model 324,455330.0,4.1,3258.0,Amazon,,Free Delivery,,Boat,,Luxury
microwave oven convection,Puma Microwave Oven Convection Model 672,32574.0,,4159.0,Reliance Digital,,2 Days,,Puma,,Premium
office chair ergonomic,Lg Office Chair Ergonomic Model 906,47981.0,,4032.0,Flipkart,,5 Days,,Lg,,Premium
air fryer india,Nike Air Fryer India Model 478,18795.0,4.7,4940.0,Reliance Digital,,Free Delivery,,Nike,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 268,19653.0,,2571.0,Amazon,,5 Days,,Puma,,Mid-Range
microwave oven convection,Philips Microwave Oven Convection Model 749,12002.0,4.2,1195.0,Flipkart,,2 Days,,Philips,,Mid-Range
microwave oven convection,Puma Microwave Oven Convection Model 481,35873.0,3.1,4742.0,Amazon,,5 Days,,Puma,,Premium
power bank fast charging,Lg Power Bank Fast Charging Model 622,13442.0,4.9,2243.0,Amazon,,5 Days,,Lg,,Mid-Range
microwave oven convection,Lg Microwave Oven Convection Model 140,48117.0,2.7,1141.0,Flipkart,,5 Days,,Lg,,Premium
air fryer india,Philips Air Fryer India Model 646,11773.0,4.6,2746.0,Croma,,Free Delivery,,Philips,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 799,7517.0,3.7,2856.0,Croma,,2 Days,,Puma,,Mid-Range
power bank fast charging,Sony Power Bank Fast Charging Model 905,21605.0,3.2,4282.0,Flipkart,,5 Days,,Sony,,Premium
men running shoes,Lg Men Running Shoes Model 336,10645.0,2.6,1588.0,Amazon,,2 Days,,Lg,,Mid-Range
office chair ergonomic,Sony Office Chair Ergonomic Model 805,33876.0,4.2,4729.0,Flipkart,,2 Days,,Sony,,Premium
microwave oven convection,Lg Microwave Oven Convection Model 265,36060.0,2.7,1104.0,Amazon,,Free Delivery,,Lg,,Premium
men running shoes,Boat Men Running Shoes Model 103,11594.0,3.9,3659.0,Amazon,,5 Days,,Boat,,Mid-Range
microwave oven convection,Lg Microwave Oven Convection Model 421,1377.0,5.0,1203.0,Reliance Digital,,Free Delivery,,Lg,,Budget
power bank fast charging,Sony Power Bank Fast Charging Model 720,8143.0,5.0,1895.0,Amazon,,2 Days,,Sony,,Mid-Range
power bank fast charging,Hp Power Bank Fast Charging Model 730,8200.0,2.7,633.0,Flipkart,,5 Days,,Hp,,Mid-Range
microwave oven convection,Boat Microwave Oven Convection Model 912,14301.0,3.4,3397.0,Croma,,5 Days,,Boat,,Mid-Range
air fryer india,Philips Air Fryer India Model 480,48641.0,3.4,436.0,Flipkart,,Free Delivery,,Philips,,Premium
office chair ergonomic,Samsung Office Chair Ergonomic Model 401,17691.0,4.1,4739.0,Flipkart,,2 Days,,Samsung,,Mid-Range
air fryer india,Hp Air Fryer India Model 467,24241.0,3.6,2577.0,Croma,,5 Days,,Hp,,Premium
microwave oven convection,Philips Microwave Oven Convection Model 811,40899.0,3.1,4061.0,Croma,,5 Days,,Philips,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 686,40569.0,4.9,2457.0,Amazon,,2 Days,,Hp,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 732,22414.0,4.5,4065.0,Flipkart,,2 Days,,Dell,,Premium
air fryer india,Philips Air Fryer India Model 717,21851.0,4.4,1283.0,Reliance Digital,,2 Days,,Philips,,Premium
air fryer india,Philips Air Fryer India Model 486,32783.0,3.0,3444.0,Reliance Digital,,Free Delivery,,Philips,,Premium
men running shoes,Samsung Men Running Shoes Model 420,25585.0,4.4,382.0,Reliance Digital,,Free Delivery,,Samsung,,Premium
men running shoes,Hp Men Running Shoes Model 244,27366.0,4.7,171.0,Amazon,,5 Days,,Hp,,Premium
office chair ergonomic,Sony Office Chair Ergonomic Model 515,28389.0,4.6,685.0,Croma,,Free Delivery,,Sony,,Premium
office chair ergonomic,Philips Office Chair Ergonomic Model 257,17699.0,2.6,1407.0,Flipkart,,Free Delivery,,Philips,,Mid-Range
microwave oven convection,Dell Microwave Oven Convection Model 900,36248.0,2.9,3267.0,Flipkart,,Free Delivery,,Dell,,Premium
men running shoes,Dell Men Running Shoes Model 531,7064.0,4.9,2725.0,Reliance Digital,,2 Days,,Dell,,Mid-Range
men running shoes,Hp Men Running Shoes Model 526,45586.0,3.7,483.0,Reliance Digital,,2 Days,,Hp,,Premium
men running shoes,Puma Men Running Shoes Model 666,23630.0,3.4,982.0,Flipkart,,5 Days,,Puma,,Premium
air fryer india,Sony Air Fryer India Model 991,7436.0,4.9,1081.0,Flipkart,,Free Delivery,,Sony,,Mid-Range
power bank fast charging,Boat Power Bank Fast Charging Model 457,18723.0,,3760.0,Amazon,,2 Days,,Boat,,Mid-Range
men running shoes,Nike Men Running Shoes Model 985,5261.0,4.0,947.0,Reliance Digital,,2 Days,,Nike,,Mid-Range
office chair ergonomic,Philips Office Chair Ergonomic Model 290,12568.0,3.3,1037.0,Amazon,,Free Delivery,,Philips,,Mid-Range
microwave oven convection,Hp Microwave Oven Convection Model 705,21357.0,4.3,1751.0,Amazon,,2 Days,,Hp,,Premium
men running shoes,Samsung Men Running Shoes Model 751,49670.0,4.6,900.0,Reliance Digital,,2 Days,,Samsung,,Premium
microwave oven convection,Lg Microwave Oven Convection Model 443,11089.0,4.4,3882.0,Amazon,,2 Days,,Lg,,Mid-Range
microwave oven convection,Dell Microwave Oven Convection Model 722,25560.0,4.3,844.0,Reliance Digital,,Free Delivery,,Dell,,Premium
men running shoes,Philips Men Running Shoes Model 308,42168.0,3.6,667.0,Reliance Digital,,5 Days,,Philips,,Premium
men running shoes,Philips Men Running Shoes Model 169,45637.0,3.1,3481.0,Amazon,,5 Days,,Philips,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 913,15034.0,3.3,3503.0,Reliance Digital,,5 Days,,Hp,,Mid-Range
office chair ergonomic,Philips Office Chair Ergonomic Model 989,8904.0,3.0,3739.0,Amazon,,2 Days,,Philips,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 321,44831.0,4.3,4897.0,Flipkart,,Free Delivery,,Puma,,Premium
power bank fast charging,Hp Power Bank Fast Charging Model 100,9092.0,3.8,811.0,Croma,,Free Delivery,,Hp,,Mid-Range
power bank fast charging,Hp Power Bank Fast Charging Model 956,49324.0,4.9,4798.0,Amazon,,5 Days,,Hp,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 726,49015.0,2.9,3373.0,Reliance Digital,,5 Days,,Hp,,Premium
microwave oven convection,Samsung Microwave Oven Convection Model 999,12362.0,3.6,3512.0,Croma,,5 Days,,Samsung,,Mid-Range
men running shoes,Dell Men Running Shoes Model 938,18469.0,,3920.0,Amazon,,5 Days,,Dell,,Mid-Range
men running shoes,Boat Men Running Shoes Model 821,11806.0,3.7,3346.0,Amazon,,2 Days,,Boat,,Mid-Range
microwave oven convection,Sony Microwave Oven Convection Model 983,9278.0,3.2,937.0,Amazon,,Free Delivery,,Sony,,Mid-Range
power bank fast charging,Samsung Power Bank Fast Charging Model 567,2958.0,4.1,4103.0,Croma,,2 Days,,Samsung,,Budget
office chair ergonomic,Hp Office Chair Ergonomic Model 586,3054.0,,2790.0,Reliance Digital,,2 Days,,Hp,,Budget
men running shoes,Lg Men Running Shoes Model 131,43158.0,4.2,184.0,Flipkart,,2 Days,,Lg,,Premium
power bank fast charging,Samsung Power Bank Fast Charging Model 205,86400.0,,2729.0,Flipkart,,5 Days,,Samsung,,Luxury
microwave oven convection,Lg Microwave Oven Convection Model 469,23503.0,3.7,712.0,Reliance Digital,,2 Days,,Lg,,Premium
power bank fast charging,Puma Power Bank Fast Charging Model 586,7191.0,3.9,1373.0,Croma,,2 Days,,Puma,,Mid-Range
men running shoes,Nike Men Running Shoes Model 359,14330.0,3.9,4643.0,Amazon,,Free Delivery,,Nike,,Mid-Range
air fryer india,Boat Air Fryer India Model 311,36987.0,4.2,1543.0,Amazon,,Free Delivery,,Boat,,Premium
air fryer india,Hp Air Fryer India Model 211,39993.0,,149.0,Amazon,,Free Delivery,,Hp,,Premium
men running shoes,Puma Men Running Shoes Model 305,49243.0,3.5,515.0,Croma,,2 Days,,Puma,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 453,44884.0,4.0,122.0,Flipkart,,Free Delivery,,Boat,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 472,42957.0,3.2,3026.0,Croma,,5 Days,,Hp,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 838,383970.0,2.8,2066.0,Reliance Digital,,5 Days,,Dell,,Luxury
power bank fast charging,Sony Power Bank Fast Charging Model 509,38591.0,2.7,969.0,Reliance Digital,,5 Days,,Sony,,Premium
microwave oven convection,Sony Microwave Oven Convection Model 848,9020.0,3.0,1410.0,Amazon,,2 Days,,Sony,,Mid-Range
power bank fast charging,Philips Power Bank Fast Charging Model 190,38421.0,,234.0,Flipkart,,Free Delivery,,Philips,,Premium
men running shoes,Lg Men Running Shoes Model 449,15824.0,2.9,2382.0,Reliance Digital,,2 Days,,Lg,,Mid-Range
office chair ergonomic,Philips Office Chair Ergonomic Model 887,9713.0,3.7,3026.0,Flipkart,,2 Days,,Philips,,Mid-Range
men running shoes,Nike Men Running Shoes Model 850,38043.0,3.3,2625.0,Flipkart,,2 Days,,Nike,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 830,22701.0,4.6,868.0,Amazon,,Free Delivery,,Nike,,Premium
men running shoes,Samsung Men Running Shoes Model 677,31281.0,3.2,1859.0,Amazon,,5 Days,,Samsung,,Premium
microwave oven convection,Samsung Microwave Oven Convection Model 830,39906.0,3.7,2247.0,Reliance Digital,,Free Delivery,,Samsung,,Premium
power bank fast charging,Nike Power Bank Fast Charging Model 406,436130.0,,3636.0,Reliance Digital,,Free Delivery,,Nike,,Luxury
air fryer india,Puma Air Fryer India Model 297,15008.0,4.6,3256.0,Croma,,5 Days,,Puma,,Mid-Range
microwave oven convection,Philips Microwave Oven Convection Model 423,15450.0,3.5,2281.0,Croma,,2 Days,,Philips,,Mid-Range
office chair ergonomic,Dell Office Chair Ergonomic Model 787,40869.0,3.4,141.0,Reliance Digital,,5 Days,,Dell,,Premium
power bank fast charging,Philips Power Bank Fast Charging Model 149,4795.0,4.1,942.0,Croma,,2 Days,,Philips,,Budget
men running shoes,Nike Men Running Shoes Model 733,71900.0,4.1,4924.0,Flipkart,,Free Delivery,,Nike,,Luxury
power bank fast charging,Sony Power Bank Fast Charging Model 747,29596.0,4.3,934.0,Reliance Digital,,2 Days,,Sony,,Premium
microwave oven convection,Sony Microwave Oven Convection Model 408,41193.0,,2034.0,Amazon,,2 Days,,Sony,,Premium
microwave oven convection,Samsung Microwave Oven Convection Model 326,2525.0,,3415.0,Croma,,5 Days,,Samsung,,Budget
men running shoes,Samsung Men Running Shoes Model 836,712.0,4.6,819.0,Flipkart,,2 Days,,Samsung,,Budget
power bank fast charging,Hp Power Bank Fast Charging Model 709,24141.0,3.2,2688.0,Croma,,2 Days,,Hp,,Premium
microwave oven convection,Puma Microwave Oven Convection Model 523,44457.0,4.5,760.0,Croma,,2 Days,,Puma,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 711,10504.0,3.5,3408.0,Croma,,Free Delivery,,Sony,,Mid-Range
microwave oven convection,Sony Microwave Oven Convection Model 360,42530.0,3.4,4316.0,Flipkart,,2 Days,,Sony,,Premium
men running shoes,Puma Men Running Shoes Model 511,19924.0,4.5,902.0,Flipkart,,2 Days,,Puma,,Mid-Range
microwave oven convection,Samsung Microwave Oven Convection Model 533,6933.0,3.8,4407.0,Croma,,5 Days,,Samsung,,Mid-Range
office chair ergonomic,Samsung Office Chair Ergonomic Model 192,20680.0,2.8,934.0,Amazon,,2 Days,,Samsung,,Premium
men running shoes,Dell Men Running Shoes Model 277,10071.0,4.9,4560.0,Croma,,5 Days,,Dell,,Mid-Range
power bank fast charging,Samsung Power Bank Fast Charging Model 321,34057.0,4.5,3652.0,Amazon,,5 Days,,Samsung,,Premium
air fryer india,Sony Air Fryer India Model 833,15593.0,3.1,4956.0,Croma,,5 Days,,Sony,,Mid-Range
air fryer india,Lg Air Fryer India Model 739,21483.0,4.4,1545.0,Flipkart,,Free Delivery,,Lg,,Premium
air fryer india,Dell Air Fryer India Model 150,5659.0,4.2,270.0,Amazon,,5 Days,,Dell,,Mid-Range
air fryer india,Nike Air Fryer India Model 258,17028.0,3.0,3583.0,Flipkart,,5 Days,,Nike,,Mid-Range
office chair ergonomic,Sony Office Chair Ergonomic Model 546,11042.0,3.0,571.0,Flipkart,,Free Delivery,,Sony,,Mid-Range
microwave oven convection,Hp Microwave Oven Convection Model 690,47857.0,3.3,4944.0,Amazon,,Free Delivery,,Hp,,Premium
power bank fast charging,Philips Power Bank Fast Charging Model 708,12594.0,4.1,4687.0,Reliance Digital,,Free Delivery,,Philips,,Mid-Range
office chair ergonomic,Boat Office Chair Ergonomic Model 303,9335.0,,844.0,Reliance Digital,,Free Delivery,,Boat,,Mid-Range
office chair ergonomic,Nike Office Chair Ergonomic Model 994,33453.0,4.3,1126.0,Reliance Digital,,Free Delivery,,Nike,,Premium
air fryer india,Samsung Air Fryer India Model 440,18612.0,2.6,3055.0,Croma,,5 Days,,Samsung,,Mid-Range
office chair ergonomic,Lg Office Chair Ergonomic Model 874,35478.0,4.9,3461.0,Amazon,,5 Days,,Lg,,Premium
air fryer india,Lg Air Fryer India Model 428,8757.0,4.9,2023.0,Croma,,Free Delivery,,Lg,,Mid-Range
men running shoes,Boat Men Running Shoes Model 882,29336.0,2.8,199.0,Flipkart,,5 Days,,Boat,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 721,38318.0,3.8,2831.0,Reliance Digital,,5 Days,,Hp,,Premium
power bank fast charging,Puma Power Bank Fast Charging Model 333,7947.0,3.3,3734.0,Croma,,5 Days,,Puma,,Mid-Range
power bank fast charging,Nike Power Bank Fast Charging Model 373,49953.0,4.9,2218.0,Flipkart,,Free Delivery,,Nike,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 300,9342.0,,3843.0,Croma,,2 Days,,Sony,,Mid-Range
air fryer india,Hp Air Fryer India Model 869,38110.0,4.6,4859.0,Flipkart,,2 Days,,Hp,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 140,36301.0,,2443.0,Amazon,,5 Days,,Dell,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 678,44668.0,3.2,2300.0,Flipkart,,5 Days,,Sony,,Premium
microwave oven convection,Sony Microwave Oven Convection Model 705,10551.0,3.0,1713.0,Croma,,Free Delivery,,Sony,,Mid-Range
men running shoes,Dell Men Running Shoes Model 628,390740.0,4.6,4015.0,Croma,,5 Days,,Dell,,Luxury
men running shoes,Nike Men Running Shoes Model 571,10750.0,4.4,586.0,Croma,,2 Days,,Nike,,Mid-Range
men running shoes,Sony Men Running Shoes Model 922,29370.0,4.6,1501.0,Amazon,,Free Delivery,,Sony,,Premium
air fryer india,Lg Air Fryer India Model 691,43902.0,4.8,2395.0,Croma,,5 Days,,Lg,,Premium
air fryer india,Puma Air Fryer India Model 696,8987.0,4.8,2999.0,Reliance Digital,,Free Delivery,,Puma,,Mid-Range
office chair ergonomic,Philips Office Chair Ergonomic Model 733,2022.0,3.7,,Flipkart,,2 Days,,Philips,,Budget
men running shoes,Boat Men Running Shoes Model 961,3146.0,2.9,521.0,Amazon,,Free Delivery,,Boat,,Budget
air fryer india,Hp Air Fryer India Model 627,22353.0,4.0,4304.0,Flipkart,,2 Days,,Hp,,Premium
air fryer india,Lg Air Fryer India Model 628,41688.0,3.0,987.0,Reliance Digital,,Free Delivery,,Lg,,Premium
power bank fast charging,Boat Power Bank Fast Charging Model 932,15951.0,4.9,3521.0,Reliance Digital,,2 Days,,Boat,,Mid-Range
microwave oven convection,Dell Microwave Oven Convection Model 915,17906.0,4.2,1947.0,Amazon,,2 Days,,Dell,,Mid-Range
office chair ergonomic,Hp Office Chair Ergonomic Model 117,19227.0,4.4,3149.0,Reliance Digital,,2 Days,,Hp,,Mid-Range
air fryer india,Nike Air Fryer India Model 240,45088.0,4.2,3926.0,Amazon,,2 Days,,Nike,,Premium
air fryer india,Hp Air Fryer India Model 114,15280.0,4.2,4970.0,Reliance Digital,,5 Days,,Hp,,Mid-Range
power bank fast charging,Hp Power Bank Fast Charging Model 526,20759.0,4.2,1884.0,Amazon,,5 Days,,Hp,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 367,32317.0,3.6,434.0,Amazon,,Free Delivery,,Dell,,Premium
air fryer india,Hp Air Fryer India Model 618,9220.0,2.9,326.0,Croma,,Free Delivery,,Hp,,Mid-Range
microwave oven convection,Boat Microwave Oven Convection Model 424,482890.0,4.9,858.0,Amazon,,2 Days,,Boat,,Luxury
microwave oven convection,Lg Microwave Oven Convection Model 603,49245.0,4.3,1944.0,Croma,,2 Days,,Lg,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 129,30496.0,,4979.0,Amazon,,5 Days,,Hp,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 106,8923.0,4.6,2822.0,Flipkart,,5 Days,,Nike,,Mid-Range
air fryer india,Lg Air Fryer India Model 774,17078.0,3.2,2604.0,Croma,,5 Days,,Lg,,Mid-Range
power bank fast charging,Dell Power Bank Fast Charging Model 852,27435.0,4.3,1773.0,Amazon,,Free Delivery,,Dell,,Premium
air fryer india,Lg Air Fryer India Model 285,35864.0,4.1,4369.0,Amazon,,Free Delivery,,Lg,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 227,48663.0,,4019.0,Flipkart,,Free Delivery,,Boat,,Premium
office chair ergonomic,Philips Office Chair Ergonomic Model 723,45041.0,2.6,3099.0,Reliance Digital,,5 Days,,Philips,,Premium
men running shoes,Hp Men Running Shoes Model 425,1105.0,,69.0,Amazon,,5 Days,,Hp,,Budget
power bank fast charging,Boat Power Bank Fast Charging Model 924,33465.0,3.0,939.0,Amazon,,5 Days,,Boat,,Premium
office chair ergonomic,Sony Office Chair Ergonomic Model 865,17134.0,3.5,2274.0,Amazon,,Free Delivery,,Sony,,Mid-Range
power bank fast charging,Puma Power Bank Fast Charging Model 422,20958.0,3.3,427.0,Amazon,,5 Days,,Puma,,Premium
men running shoes,Sony Men Running Shoes Model 146,17182.0,3.5,500.0,Amazon,,Free Delivery,,Sony,,Mid-Range
air fryer india,Dell Air Fryer India Model 222,46717.0,4.4,4987.0,Amazon,,2 Days,,Dell,,Premium
air fryer india,Samsung Air Fryer India Model 964,40114.0,4.5,2842.0,Croma,,5 Days,,Samsung,,Premium
men running shoes,Samsung Men Running Shoes Model 589,2849.0,2.7,4466.0,Amazon,,2 Days,,Samsung,,Budget
air fryer india,Nike Air Fryer India Model 172,28087.0,4.2,2788.0,Croma,,Free Delivery,,Nike,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 749,11799.0,,2729.0,Croma,,2 Days,,Hp,,Mid-Range
microwave oven convection,Puma Microwave Oven Convection Model 258,36850.0,4.9,1104.0,Reliance Digital,,Free Delivery,,Puma,,Premium
men running shoes,Hp Men Running Shoes Model 608,22065.0,4.9,2727.0,Amazon,,Free Delivery,,Hp,,Premium
power bank fast charging,Puma Power Bank Fast Charging Model 468,43895.0,4.0,4829.0,Croma,,5 Days,,Puma,,Premium
office chair ergonomic,Dell Office Chair Ergonomic Model 627,25413.0,4.4,1324.0,Flipkart,,5 Days,,Dell,,Premium
office chair ergonomic,Dell Office Chair Ergonomic Model 330,35292.0,2.7,4225.0,Reliance Digital,,2 Days,,Dell,,Premium
men running shoes,Philips Men Running Shoes Model 659,7470.0,3.5,3046.0,Croma,,2 Days,,Philips,,Mid-Range
power bank fast charging,Dell Power Bank Fast Charging Model 883,34235.0,2.7,200.0,Reliance Digital,,Free Delivery,,Dell,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 873,43509.0,,4035.0,Reliance Digital,,2 Days,,Hp,,Premium
men running shoes,Samsung Men Running Shoes Model 200,13528.0,3.3,2011.0,Flipkart,,Free Delivery,,Samsung,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 753,1131.0,3.9,4694.0,Reliance Digital,,2 Days,,Puma,,Budget
men running shoes,Hp Men Running Shoes Model 563,42681.0,3.5,3907.0,Flipkart,,5 Days,,Hp,,Premium
air fryer india,Dell Air Fryer India Model 284,44863.0,4.8,4625.0,Flipkart,,Free Delivery,,Dell,,Premium
air fryer india,Lg Air Fryer India Model 400,36846.0,4.5,1363.0,Croma,,2 Days,,Lg,,Premium
men running shoes,Lg Men Running Shoes Model 614,1680.0,2.7,4120.0,Reliance Digital,,Free Delivery,,Lg,,Budget
office chair ergonomic,Boat Office Chair Ergonomic Model 922,11394.0,3.7,,Reliance Digital,,5 Days,,Boat,,Mid-Range
men running shoes,Boat Men Running Shoes Model 296,10726.0,,3096.0,Flipkart,,Free Delivery,,Boat,,Mid-Range
power bank fast charging,Philips Power Bank Fast Charging Model 166,43776.0,3.3,3844.0,Croma,,5 Days,,Philips,,Premium
air fryer india,Puma Air Fryer India Model 883,103500.0,4.3,4194.0,Amazon,,5 Days,,Puma,,Luxury
men running shoes,Sony Men Running Shoes Model 835,5646.0,4.2,3419.0,Amazon,,5 Days,,Sony,,Mid-Range
power bank fast charging,Boat Power Bank Fast Charging Model 483,26374.0,4.4,2145.0,Flipkart,,2 Days,,Boat,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 957,23854.0,4.8,3087.0,Flipkart,,5 Days,,Boat,,Premium
power bank fast charging,Boat Power Bank Fast Charging Model 651,11700.0,4.4,1813.0,Reliance Digital,,2 Days,,Boat,,Mid-Range
air fryer india,Hp Air Fryer India Model 603,46330.0,4.4,1403.0,Amazon,,5 Days,,Hp,,Premium
air fryer india,Dell Air Fryer India Model 962,33577.0,2.9,991.0,Amazon,,Free Delivery,,Dell,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 128,20084.0,,2575.0,Amazon,,Free Delivery,,Boat,,Premium
microwave oven convection,Puma Microwave Oven Convection Model 943,18372.0,4.2,367.0,Croma,,5 Days,,Puma,,Mid-Range
office chair ergonomic,Nike Office Chair Ergonomic Model 944,21252.0,3.0,3789.0,Reliance Digital,,2 Days,,Nike,,Premium
men running shoes,Puma Men Running Shoes Model 319,34307.0,4.1,1256.0,Flipkart,,Free Delivery,,Puma,,Premium
air fryer india,Puma Air Fryer India Model 791,35653.0,3.6,4443.0,Reliance Digital,,5 Days,,Puma,,Premium
men running shoes,Samsung Men Running Shoes Model 540,17273.0,3.6,561.0,Croma,,Free Delivery,,Samsung,,Mid-Range
air fryer india,Boat Air Fryer India Model 608,10828.0,3.3,4277.0,Flipkart,,5 Days,,Boat,,Mid-Range
men running shoes,Boat Men Running Shoes Model 710,46350.0,3.6,2345.0,Reliance Digital,,Free Delivery,,Boat,,Premium
air fryer india,Philips Air Fryer India Model 545,5049.0,4.4,557.0,Amazon,,2 Days,,Philips,,Mid-Range
power bank fast charging,Lg Power Bank Fast Charging Model 952,43614.0,5.0,3948.0,Croma,,2 Days,,Lg,,Premium
power bank fast charging,Samsung Power Bank Fast Charging Model 946,17773.0,3.6,587.0,Amazon,,Free Delivery,,Samsung,,Mid-Range
power bank fast charging,Boat Power Bank Fast Charging Model 239,4103.0,4.7,4335.0,Amazon,,2 Days,,Boat,,Budget
air fryer india,Hp Air Fryer India Model 541,44752.0,4.6,3692.0,Reliance Digital,,2 Days,,Hp,,Premium
men running shoes,Boat Men Running Shoes Model 227,380730.0,2.9,1574.0,Croma,,2 Days,,Boat,,Luxury
microwave oven convection,Puma Microwave Oven Convection Model 925,32710.0,3.1,3780.0,Reliance Digital,,2 Days,,Puma,,Premium
men running shoes,Nike Men Running Shoes Model 773,12222.0,4.3,3755.0,Amazon,,5 Days,,Nike,,Mid-Range
men running shoes,Boat Men Running Shoes Model 475,10153.0,2.9,3274.0,Amazon,,5 Days,,Boat,,Mid-Range
air fryer india,Hp Air Fryer India Model 607,28433.0,,2110.0,Amazon,,2 Days,,Hp,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 131,6862.0,3.9,1670.0,Croma,,5 Days,,Sony,,Mid-Range
microwave oven convection,Samsung Microwave Oven Convection Model 132,2008.0,4.8,2465.0,Croma,,5 Days,,Samsung,,Budget
men running shoes,Dell Men Running Shoes Model 598,32326.0,4.8,3889.0,Croma,,2 Days,,Dell,,Premium
men running shoes,Puma Men Running Shoes Model 152,39884.0,3.0,491.0,Reliance Digital,,2 Days,,Puma,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 270,35994.0,2.7,2870.0,Flipkart,,5 Days,,Dell,,Premium
air fryer india,Dell Air Fryer India Model 786,28304.0,4.4,2261.0,Reliance Digital,,2 Days,,Dell,,Premium
air fryer india,Samsung Air Fryer India Model 883,5559.0,,3803.0,Croma,,Free Delivery,,Samsung,,Mid-Range
microwave oven convection,Boat Microwave Oven Convection Model 754,2828.0,3.2,1712.0,Reliance Digital,,5 Days,,Boat,,Budget
power bank fast charging,Sony Power Bank Fast Charging Model 631,35507.0,3.1,4810.0,Amazon,,5 Days,,Sony,,Premium
microwave oven convection,Lg Microwave Oven Convection Model 213,40084.0,3.6,1704.0,Croma,,Free Delivery,,Lg,,Premium
office chair ergonomic,Lg Office Chair Ergonomic Model 315,39361.0,3.9,405.0,Croma,,Free Delivery,,Lg,,Premium
office chair ergonomic,Sony Office Chair Ergonomic Model 904,32777.0,4.4,774.0,Croma,,Free Delivery,,Sony,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 298,16898.0,4.2,4324.0,Reliance Digital,,Free Delivery,,Sony,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 876,123310.0,3.3,2499.0,Flipkart,,Free Delivery,,Puma,,Luxury
air fryer india,Puma Air Fryer India Model 363,28760.0,4.9,1266.0,Reliance Digital,,Free Delivery,,Puma,,Premium
office chair ergonomic,Sony Office Chair Ergonomic Model 246,40731.0,4.7,4537.0,Reliance Digital,,Free Delivery,,Sony,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 564,8799.0,3.5,4884.0,Amazon,,Free Delivery,,Hp,,Mid-Range
microwave oven convection,Puma Microwave Oven Convection Model 837,45797.0,4.4,3484.0,Amazon,,5 Days,,Puma,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 306,16492.0,2.6,4233.0,Reliance Digital,,5 Days,,Boat,,Mid-Range
office chair ergonomic,Sony Office Chair Ergonomic Model 231,19356.0,3.3,3401.0,Reliance Digital,,Free Delivery,,Sony,,Mid-Range
microwave oven convection,Lg Microwave Oven Convection Model 208,4378.0,,646.0,Amazon,,2 Days,,Lg,,Budget
microwave oven convection,Samsung Microwave Oven Convection Model 981,24681.0,4.6,2547.0,Flipkart,,5 Days,,Samsung,,Premium
men running shoes,Hp Men Running Shoes Model 362,43372.0,2.9,705.0,Reliance Digital,,5 Days,,Hp,,Premium
